Position,Track Name,Artist,Streams,URL,Date
192,Fantasía,Ozuna,4659704,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr,1/2/2020
193,Another One Bites The Dust - Remastered 2011,Queen,4655115,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,1/2/2020
194,wish you were gay,Billie Eilish,4650306,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD,1/2/2020
195,New Rules,Dua Lipa,4630675,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O,1/2/2020
196,Cheirosa - Ao Vivo,Jorge & Mateus,4623030,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da,1/2/2020
197,Havana (feat. Young Thug),Camila Cabello,4620876,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,1/2/2020
198,Surtada - Remix Brega Funk,Dadá Boladão,4607385,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r,1/2/2020
199,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,4595450,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0,1/2/2020
200,Going Bad (feat. Drake),Meek Mill,4551623,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,1/2/2020
1,Dance Monkey,Tones And I,50241241,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,1/9/2020
2,Yummy,Justin Bieber,36772939,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,1/9/2020
3,ROXANNE,Arizona Zervas,33546219,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,1/9/2020
4,The Box,Roddy Ricch,32333490,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,1/9/2020
5,Tusa,KAROL G,29519007,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,1/9/2020
6,Blinding Lights,The Weeknd,29198353,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,1/9/2020
7,Falling,Trevor Daniel,28253241,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,1/9/2020
8,Don't Start Now,Dua Lipa,27338884,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,1/9/2020
9,Memories,Maroon 5,27008690,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,1/9/2020
10,Circles,Post Malone,26365136,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,1/9/2020
11,everything i wanted,Billie Eilish,23713150,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,1/9/2020
12,Señorita,Shawn Mendes,21757299,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,1/9/2020
13,RITMO (Bad Boys For Life),Black Eyed Peas,20528253,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,1/9/2020
